"0x8afbd8","Item/Weapon Number","End of List?","No. of Chars to Display (1 or 2)","Zero","Ranged Animation to Use","Ranged Animation Enabled","Zero","Zero","Alternate Pointer","***UNKNOWN*** (Use 0x01 if unsure)","***UNKNOWN*** (Use 0x00 if unsure)","***UNKNOWN*** (Use 0x00 if unsure)","Zero"
"0xea","0x19","0x5","5","0x5","0x5","0x6","0x6","0x6","0x7070706","0x7","0x8","0x8","0x8"
"0xeb","0x8","0x0","100","0x0","0x64","0x0","0x64","0x0","0x500064","0x50","0x0","0x50","0x0"
"0xec","0x50","0x0","60","0x0","0x3c","0x0","0x3c","0x0","0x28003c","0x28","0x0","0x28","0x0"
"0xed","0x28","0x0","0","0x0","0x24","0x4","0x0","0x0","0x424","0x24","0x4","0x0","0x0"
"0xee","0x24","0x4","0","0x0","0x63","0x1","0x63","0x1","0x414","0x0","0x0","0x0","0x0"
"0xef","0x0","0x0","0","0x0","0x6","0x0","0xff","0xff","0x1010000","0xa5","0x1","0xa1","0x1"
"0xf0","0x0","0x0","0","0xff","0x0","0x28","0x0","0x0","0x81c32d8","0x1","0x0","0x2","0x3"
"0xf1","0x15","0x5","0","0x16","0x0","0x0","0x4","0x0","0x1","0x34","0x2","0x9","0x0"
"0xf2","0x13","0x0","15","0x0","0x9","0x0","0x13","0x0","0xffff000f","0xff","0xff","0xb","0x0"
"0xf3","0xff","0xff","255","0xff","0x32","0x5","0x5","0x5","0x6060605","0x6","0x7","0x7","0x7"
"0xf4","0x7","0x8","8","0x8","0x8","0x0","0x64","0x0","0x640064","0x64","0x0","0x50","0x0"
"0xf5","0x50","0x0","80","0x0","0x50","0x0","0x3c","0x0","0x3c003c","0x3c","0x0","0x28","0x0"
"0xf6","0x28","0x0","40","0x0","0x28","0x0","0x0","0x0","0x424","0x24","0x4","0x0","0x0"
"0xf7","0x24","0x4","0","0x0","0x24","0x4","0x0","0x0","0x1640164","0x17","0x5","0x0","0x0"
"0xf8","0x0","0x0","0","0x0","0x0","0x0","0x0","0x0","0xffff0008","0x0","0x0","0x1","0x0"
"0xf9","0xa6","0x1","158","0x1","0x1","0x0","0x0","0xff","0x1800","0xdc","0x32","0x1c","0x8"
"0xfa","0x18","0x0","25","0x1a","0x1b","0x1c","0x0","0x1d","0x50000","0x1","0x0","0x0","0x0"
"0xfb","0x32","0x0","11","0x0","0x13","0x0","0xf","0x0","0x13000b","0xf","0x0","0xff","0xff"
"0xfc","0xff","0xff","11","0x0","0xff","0xff","0xff","0xff","0x5050532","0x5","0x6","0x6","0x6"
"0xfd","0x6","0x7","7","0x7","0x7","0x8","0x8","0x8","0x640008","0x64","0x0","0x64","0x0"
"0xfe","0x64","0x0","80","0x0","0x50","0x0","0x50","0x0","0x3c0050","0x3c","0x0","0x3c","0x0"
